sp_code,site,fire,trt,height,leaf_area,SLA,LDMC,stom_length,stom_den,SPI,N,C,CN,C13,C3_C4,Growth_form,Habit
BOUCUR,konza,1,ungrazed,NA,7.1865,139.1726663,0.455424275,NA,NA,NA,1.2,44.4,37,-14.4,c4,rhizomatous,p
BOUCUR,konza,1,ungrazed,NA,6.0075,105.9834513,0.46539028,NA,NA,NA,NA,NA,NA,NA,,,
BOUCUR,konza,1,ungrazed,NA,5.773,142.5432099,0.472027972,NA,NA,NA,1.1,40.7,37,-14.3,c4,rhizomatous,p
BOUCUR,konza,20,ungrazed,48,4.139,118.2571429,0.651927438,20.8,77.03703704,3.513551272,1.17,39.1,33.41880342,-13.58,c4,rhizomatous,p
BOUCUR,konza,20,ungrazed,40,5.865,145.0656056,0.519343494,20,74.07407407,3.315799436,NA,NA,NA,NA,c4,rhizomatous,p
BOUCUR,konza,20,ungrazed,33.4,8.415,140.7217588,0.620915033,19.4,71.85185185,3.166764122,1.11,38.45,34.63963964,-13.33,c4,rhizomatous,p
BOUCUR,konza,20,grazed,38,7.9125,130.8743,0.54576659,21.4,79.25925926,3.690107654,NA,NA,NA,NA,c4,rhizomatous,p
BOUCUR,konza,20,grazed,44.3,7.21,129.443447,0.515873016,19.1,70.74074074,3.091907294,NA,NA,NA,NA,c4,rhizomatous,p
BOUCUR,konza,20,ungrazed,44,12.451,142.6231386,0.538343558,NA,NA,NA,1.32,37.78,28.62121212,-13.16,c4,rhizomatous,p
BOUCUR,konza,20,grazed,44,7.3035,113.1976414,0.559650824,NA,NA,NA,NA,NA,NA,NA,c4,rhizomatous,p
BOUCUR,konza,20,ungrazed,32.8,7.2305,141.8696459,0.502994012,NA,NA,NA,1.38,40.49,29.34057971,-14.16,c4,rhizomatous,p
BOUCUR,konza,20,grazed,32.6,8.5835,138.6351638,0.599352052,NA,NA,NA,NA,NA,NA,NA,c4,rhizomatous,p
BOUCUR,konza,20,grazed,34.2,8.246,179.8581467,0.552901024,NA,NA,NA,NA,NA,NA,NA,c4,rhizomatous,p
BOUGRA,konza,1,grazed,30.5,1.914,127.6,0.531578947,21.4,79.25925926,3.667624853,1.3,43.31,33.31538462,-14.57,c4,caespitose,p
BOUGRA,konza,1,grazed,38,2.059,107.8010471,0.475609756,20.8,77.03703704,3.513429458,1.2,42.19,35.15833333,-14.26,c4,caespitose,p
BOUGRA,konza,1,grazed,45.2,1.756,225.1282051,NA,26,96.2962963,4.915506624,NA,NA,NA,NA,c4,caespitose,p
