"FRich","m","sev.blackplots","n_trait","traits","SR"
0.133370860693501,4,"5 S 1",4,6,3
0.0798040873044616,2,"5 W 3",4,7,4
0.0887677437609248,2,"1 E 1",4,7,5
0.00429858419523351,2,"1 S 1",4,7,3
0.0669792234684535,2,"1 W 1",4,7,5
0.0961850361650519,2,"1 W 3",4,7,6
0.0607040100792216,2,"1 E 3",4,7,4
0.0457964828819355,2,"1 S 3",4,7,5
0.0433977955197459,2,"4 NE 1",4,7,7
0.0331331884186247,2,"4 S 3",4,7,3
0.0549990469369239,2,"4 NE 3",4,7,4
0.0904494095029918,2,"4 NW 1",4,7,5
0.169883957649727,2,"4 S 1",4,7,7
0.117614012578561,2,"1 NE 3",4,7,5
0.0367980339251574,2,"4 W 3",4,7,3
0.118125322588535,2,"5 E 1",4,7,4
0.0125168033858268,2,"5 NE 3",4,7,4
0.103575128174041,2,"5 N 1",4,7,6
0.076028357127422,2,"5 N 3",4,7,3
0.0479942595898005,2,"1 N 1",4,7,3
0.064991562767673,2,"4 E 3",4,7,3
0.0943977400824998,2,"4 W 1",4,7,3
0.0587586463342778,2,"5 S 1",4,7,3
0.0798040873044616,3,"5 W 3",4,7,4
0.0887677437609248,3,"1 E 1",4,7,5
0.00429858419523351,3,"1 S 1",4,7,3
0.0669792234684535,3,"1 W 1",4,7,5
0.0961850361650519,3,"1 W 3",4,7,6
0.0607040100792216,3,"1 E 3",4,7,4
0.0457964828819355,3,"1 S 3",4,7,5
0.0433977955197459,3,"4 NE 1",4,7,7
0.0331331884186247,3,"4 S 3",4,7,3
0.0549990469369239,3,"4 NE 3",4,7,4
0.0904494095029918,3,"4 NW 1",4,7,5
0.169883957649727,3,"4 S 1",4,7,7
0.117614012578561,3,"1 NE 3",4,7,5
0.0367980339251574,3,"4 W 3",4,7,3
0.118125322588535,3,"5 E 1",4,7,4
0.0125168033858268,3,"5 NE 3",4,7,4
0.103575128174041,3,"5 N 1",4,7,6
0.076028357127422,3,"5 N 3",4,7,3
0.0479942595898005,3,"1 N 1",4,7,3
0.064991562767673,3,"4 E 3",4,7,3
0.0943977400824998,3,"4 W 1",4,7,3
0.0587586463342778,3,"5 S 1",4,7,3
0.0798040873044616,4,"5 W 3",4,7,4
0.0887677437609248,4,"1 E 1",4,7,5
0.00429858419523351,4,"1 S 1",4,7,3
0.0669792234684535,4,"1 W 1",4,7,5
0.0961850361650519,4,"1 W 3",4,7,6
0.0607040100792216,4,"1 E 3",4,7,4
0.0457964828819355,4,"1 S 3",4,7,5
0.0433977955197459,4,"4 NE 1",4,7,7
0.0331331884186247,4,"4 S 3",4,7,3
0.0549990469369239,4,"4 NE 3",4,7,4
0.0904494095029918,4,"4 NW 1",4,7,5
0.169883957649727,4,"4 S 1",4,7,7
0.117614012578561,4,"1 NE 3",4,7,5
0.0367980339251574,4,"4 W 3",4,7,3
0.118125322588535,4,"5 E 1",4,7,4
0.0125168033858268,4,"5 NE 3",4,7,4
0.103575128174041,4,"5 N 1",4,7,6
0.076028357127422,4,"5 N 3",4,7,3
0.0479942595898005,4,"1 N 1",4,7,3
0.064991562767673,4,"4 E 3",4,7,3
0.0943977400824998,4,"4 W 1",4,7,3
0.0587586463342778,4,"5 S 1",4,7,3
0.196487973603647,2,"5 W 3",4,8,4
0.0998320371350253,2,"1 E 1",4,8,5
0.00313377488783338,2,"1 S 1",4,8,3
0.208018204850489,2,"1 W 1",4,8,5
0.105092274042156,2,"1 W 3",4,8,6
0.0547076871540954,2,"1 E 3",4,8,4
0.0722281226239044,2,"1 S 3",4,8,5
0.101376999609061,2,"4 NE 1",4,8,7
0.0998320371350253,2,"4 S 3",4,8,3
0.00711272893960008,2,"4 NE 3",4,8,4
0.111017989819579,2,"4 NW 1",4,8,5
0.138088682059845,2,"4 S 1",4,8,7
0.150585354449388,2,"1 NE 3",4,8,5
0.0257808510685599,2,"4 W 3",4,8,3
0.0927601052416885,2,"5 E 1",4,8,4
0.00918648358071138,2,"5 NE 3",4,8,4
0.122884376501759,2,"5 N 1",4,8,6
0.0348665542781626,2,"5 N 3",4,8,3
0.0207977592889335,2,"1 N 1",4,8,3
0.0540574899480583,2,"4 E 3",4,8,3
0.0302665634498758,2,"4 W 1",4,8,3
0.110121958281941,2,"5 S 1",4,8,3
0.196487973603647,3,"5 W 3",4,8,4
0.0998320371350253,3,"1 E 1",4,8,5
0.00313377488783338,3,"1 S 1",4,8,3
0.208018204850489,3,"1 W 1",4,8,5
0.105092274042156,3,"1 W 3",4,8,6
0.0547076871540954,3,"1 E 3",4,8,4
0.0722281226239044,3,"1 S 3",4,8,5
0.101376999609061,3,"4 NE 1",4,8,7
0.0998320371350253,3,"4 S 3",4,8,3
0.00711272893960008,3,"4 NE 3",4,8,4
0.111017989819579,3,"4 NW 1",4,8,5
0.138088682059845,3,"4 S 1",4,8,7
0.150585354449388,3,"1 NE 3",4,8,5
0.0257808510685599,3,"4 W 3",4,8,3
0.0927601052416885,3,"5 E 1",4,8,4
0.00918648358071138,3,"5 NE 3",4,8,4
0.122884376501759,3,"5 N 1",4,8,6
0.0348665542781626,3,"5 N 3",4,8,3
0.0207977592889335,3,"1 N 1",4,8,3
0.0540574899480583,3,"4 E 3",4,8,3
0.0302665634498758,3,"4 W 1",4,8,3
0.110121958281941,3,"5 S 1",4,8,3
0.196487973603647,4,"5 W 3",4,8,4
0.0998320371350253,4,"1 E 1",4,8,5
0.00313377488783338,4,"1 S 1",4,8,3
0.208018204850489,4,"1 W 1",4,8,5
0.105092274042156,4,"1 W 3",4,8,6
0.0547076871540954,4,"1 E 3",4,8,4
0.0722281226239044,4,"1 S 3",4,8,5
0.101376999609061,4,"4 NE 1",4,8,7
0.0998320371350253,4,"4 S 3",4,8,3
0.00711272893960008,4,"4 NE 3",4,8,4
0.111017989819579,4,"4 NW 1",4,8,5
0.138088682059845,4,"4 S 1",4,8,7
0.150585354449388,4,"1 NE 3",4,8,5
0.0257808510685599,4,"4 W 3",4,8,3
0.0927601052416885,4,"5 E 1",4,8,4
0.00918648358071138,4,"5 NE 3",4,8,4
0.122884376501759,4,"5 N 1",4,8,6
0.0348665542781626,4,"5 N 3",4,8,3
0.0207977592889335,4,"1 N 1",4,8,3
0.0540574899480583,4,"4 E 3",4,8,3
0.0302665634498758,4,"4 W 1",4,8,3
