year,season,date,site,tmnt,kartez,obs,ccount,cover,height,live_weight,Dead_Weight,Book,Comments
1999,2,6/4/99,C,C,LATR2,14,1,11,50,146.24,-888,99-1,NA
1999,2,6/4/99,C,C,LATR2,15,1,12,70,176,-888,99-1,NA
1999,2,6/4/99,C,C,LEFE,1,1,0.01,4,0.12,-888,99-1,NA
1999,2,6/4/99,C,C,LEFE,2,1,0.01,4,0.08,-888,99-1,NA
1999,2,6/4/99,C,C,LEFE,3,1,0.05,3,0.09,-888,99-1,NA
1999,2,6/4/99,C,C,LEFE,4,1,0.05,3,0.42,-888,99-1,NA
1999,2,6/4/99,C,C,LEFE,5,1,0.1,7,0.61,-888,99-1,NA
1999,2,6/4/99,C,C,LEFE,6,1,0.1,5,0.33,-888,99-1,NA
1999,2,6/4/99,C,C,LEFE,7,1,0.25,6,1.13,-888,99-1,NA
1999,2,6/4/99,C,C,LEFE,8,1,0.25,5,0.67,-888,99-1,NA
1999,2,6/4/99,C,C,LEFE,9,1,0.5,8,0.61,-888,99-1,NA
1999,2,6/4/99,C,C,LEFE,10,1,1,8,0.73,-888,99-1,NA
1999,2,6/4/99,C,C,MAPIP,1,1,0.01,5,0.06,-888,99-1,NA
1999,2,6/4/99,C,C,MAPIP,2,1,0.01,3,0.1,-888,99-1,NA
1999,2,6/4/99,C,C,MAPIP,3,1,0.05,4,0.13,-888,99-1,NA
1999,2,6/4/99,C,C,MAPIP,4,1,0.05,5,0.13,-888,99-1,NA
1999,2,6/4/99,C,C,MAPIP,5,1,0.1,13,0.38,-888,99-1,NA
1999,2,6/4/99,C,C,MAPIP,6,1,0.1,3,0.44,-888,99-1,NA
1999,2,6/4/99,C,C,MAPIP,7,1,0.25,9,0.73,-888,99-1,NA
1999,2,6/4/99,C,C,MAPIP,8,1,0.25,9,0.7,-888,99-1,NA
1999,2,6/4/99,C,C,MELE2,1,1,0.05,4,0.16,-888,99-1,NA
1999,2,6/4/99,C,C,MELE2,2,1,0.05,5,0.37,-888,99-1,NA
1999,2,6/4/99,C,C,MELE2,3,1,0.1,7,0.7,-888,99-1,NA
1999,2,6/4/99,C,C,MELE2,4,1,0.1,7,0.77,-888,99-1,NA
1999,2,6/4/99,C,C,MELE2,5,1,0.25,8,0.91,-888,99-1,NA
1999,2,6/4/99,C,C,MELE2,6,1,0.25,5,0.74,-888,99-1,NA
1999,2,6/4/99,C,C,MELE2,7,1,0.5,9,2.43,-888,99-1,NA
1999,2,6/4/99,C,C,MELE2,8,1,1,10,4.94,-888,99-1,NA
1999,2,6/4/99,C,C,MUAR2,1,1,0.05,4,0.03,-888,99-1,NA
1999,2,6/4/99,C,C,MUAR2,2,1,0.05,3,0.04,-888,99-1,NA
1999,2,6/4/99,C,C,MUAR2,3,1,0.1,4,0.01,-888,99-1,SAMPLE_MINUTE
